Ticker,Date,Close,High,Low,Open,Volume
PKN.WA,2024-01-02,61.03506851196289,62.22781375149898,60.448016213875654,61.42643671068772,1788865
PKN.WA,2024-01-03,60.243011474609375,61.016434655615164,59.30185805084718,61.00711433398359,1947154
PKN.WA,2024-01-04,59.96345901489258,60.99779433243092,59.96345901489258,60.261645324766185,1944386
PKN.WA,2024-01-05,59.92618179321289,60.24300873035248,59.134125114346986,59.66526967399326,1659655
PKN.WA,2024-01-08,58.798667907714844,59.80504937426832,58.248886229800156,59.665272985693264,2119961
PKN.WA,2024-01-09,58.835941314697266,59.516179050553404,58.82662454775619,59.488225195069,1181502
PKN.WA,2024-01-10,58.29547882080078,59.10617260587893,58.29547882080078,58.6961673299608,1181504
PKN.WA,2024-01-11,57.587284088134766,58.62161938385408,57.587284088134766,58.52843749698218,1590747
PKN.WA,2024-01-12,57.447509765625,58.304794477494106,57.30773338428672,57.68046803141478,1067024
PKN.WA,2024-01-15,56.692726135253906,57.79228948129379,56.52499589232164,57.540694116895395,1147652
PKN.WA,2024-01-16,56.43181228637695,57.06545906157803,56.04976086791699,56.422491965019276,1036337
PKN.WA,2024-01-17,54.60541915893555,56.36658673354914,54.51223726922871,56.23612711143384,2844316
PKN.WA,2024-01-18,54.978153228759766,55.50929781456303,54.32586934392699,54.978153228759766,2907307
PKN.WA,2024-01-19,55.85407257080078,56.1615791881268,55.44406730236046,55.60247721698705,1842601
PKN.WA,2024-01-22,55.91930389404297,56.459768809173795,55.7515772029506,56.27340147448519,1233116
PKN.WA,2024-01-23,55.95657730102539,56.34794905394584,55.43475303667973,56.25476361055468,1800508
PKN.WA,2024-01-24,56.57158660888672,57.07477733565855,55.965897227100925,56.45045086532627,1397204
PKN.WA,2024-01-25,56.34794616699219,57.00022646400507,56.19885301986624,56.748634666392114,1009831
PKN.WA,2024-01-26,56.86045455932617,56.93499935676642,55.80748219119206,56.254761639816735,1286582
PKN.WA,2024-01-29,58.053199768066406,58.11842779883846,56.841817483449695,56.86045457147901,2747095
